Date,Close
14-Nov-2018,104.97
15-Nov-2018,107.28
16-Nov-2018,108.29
19-Nov-2018,104.62
20-Nov-2018,101.71
21-Nov-2018,103.11
23-Nov-2018,103.07
26-Nov-2018,106.47
27-Nov-2018,107.14
28-Nov-2018,111.12
29-Nov-2018,110.19
30-Nov-2018,110.89
3-Dec-2018,112.09
4-Dec-2018,108.52
6-Dec-2018,109.19
7-Dec-2018,104.82
10-Dec-2018,107.59
11-Dec-2018,108.59
12-Dec-2018,109.08
13-Dec-2018,109.45
14-Dec-2018,106.03
17-Dec-2018,102.89
18-Dec-2018,103.97
19-Dec-2018,103.69
20-Dec-2018,101.51
21-Dec-2018,98.23
24-Dec-2018,94.13
26-Dec-2018,100.56
27-Dec-2018,101.18
28-Dec-2018,100.39
31-Dec-2018,101.57
